clipDocId,title,vendor,sku,houzzId,matchedBy,oldCategory,newCategory
I7zaYuSfHP2q41Nn7Pzf,"PACHETEAU TWEED BONE
RALPH LAUREN",no vendor,FRL5044,,sku,,Fabric  + Trim
ITzyZyIoFYZWpPxY6U7A,Morris Small Lantern,Visual Comfort,,,title,,LightingBedding & Pillows
IqpHlAAYZLPtOJLOTwfP,"Elsa Farm Table in White Oak, Built to Order by Petersen Antiques",1st Dibs,,,title,,Furniture & Upholstery
J74YgoX8AwxXv2rguMuB,Buckhead Chest,Somerset Bay,SB041,,sku,,Furniture & Upholstery
JXFvmlMtv09NplP7QgWs,MAJORELLE - BLACK ON NATURAL,Peter Dunham,131MJR01,,sku,,Fabric  + Trim
KOHgmSZtFQ3unABVedZk,Hex Lantern,Elu,,,title,,LightingBedding & Pillows
KWx8sonF5jAxEeIQgBhL,Crisfield Bookshelf,Somerset Bay,SB110,,sku,,Furniture
KvmlcgUakF8vxeiPwm7O,BRERA STRADA CHAMBRAY,Designers Guild (USA) Inc.,,,title,,Fabric  + Trim
KzoJ76hQ2yvaSKEgq5ij,Ceramica,Hudson Valley Lighting,,,title,,LightingBedding & Pillows
LqsIAyEdz8vuXbbEVUC5,ALMA - RED/INDIGO,KRAVET,BP10821.1.0,,sku,,Fabric  + Trim
LxBAeUCGURWWOKU3Wdmd,Madison Linen in Sand,KRAVET,32330-1116,,sku,,Fabric  + Trim
M0gdtUIoFghnBNA3Rnj8,Amer Celadon Linen,Walter G,,,title,,Fabric  + Trim
MCIxO17lpoV8nmOxLgEm,Carrington Small Lantern,Visual Comfort,,,title,,LightingBedding & Pillows
MjgjAQFT11hiboYgOVad,Fink Pendant,Elu,,,title,,LightingBedding & Pillows
Ml0ReGAbiaWhNAzf5eAF,JACKSON - Small,Urban Electric,,,title,,LightingBedding & Pillows
NQ124UUkANwFTcGswB0q,Large Rec Glass Lantern sconce,Elu,,,title,,LightingBedding & Pillows
Nft4a1VHkVaODale3p5M,Pienza - Resist,Legracieux ,,,title,,Fabric  + Trim
OEH2z8sB5EVncIeUpP8t,Linear Iron and Brass Chandelier,Elu,,,title,,LightingBedding & Pillows
OLVatzU4Kf0eaY2E8HIC,Walker Swing Arm Sconce,Visual Comfort,,,title,,LightingBedding & Pillows
OMnQKubyKOzufyxDBajF,LUGANO,Coraggio,,,title,,Fabric & Trim
OiZaNLsWwOx1lSgdTnsW,"David 24"" Art Light",Visual Comfort,TOB 2023HAB/BZ,,sku,,LightingBedding & Pillows
P8DaFyTh17tje63V09FS,Denim Black drum Pendant,Elu,,,title,,LightingBedding & Pillows
PURaU4exYSj5bsh6VKbk,"Maverick Coastal 52"" Ceiling Fan",Visual Comfort,MGMR52MBKMBK,,sku,,LightingBedding & Pillows
PxnguaIoZjOqBR7AC2vS,Ondrian 2 Light Sconce,Hubbardton Forge,,,title,,LightingBedding & Pillows
PyuVsbSyy97pm8YEJJeI,Barranca Ocean,Mark Alexander,,,title,,Fabric  + Trim
QHMil7hgTxU7o5EDLmIr,MARMARIS | INDOOR,Martyn Lawrence Bullard,,,title,,Fabric  + Trim
QJDziR1yxuMrU9xNc1gd,Mason Outdoor Sconce,Hubbardton Forge,Base Item #303003,,sku,,LightingBedding & Pillows
QV0hnuTuKfguasbgDfOR,Imbrie Articulating Sconce,Rejuvination,,,title,,LightingBedding & Pillows
QocDOAWGwhUXLtv4AZvH,Broomfield Large Hanging Shade,Visual Comfort,RL 5162PN-L,,sku,,LightingBedding & Pillows
R2WSS9rt3AkEa6FbLeOY,Solid Mottle,Legracieux ,,,title,,Fabric  + Trim
R3bbzsBa3d9LaxcALkIx,NEVA Ottoman,SixPenny,,,title,,Furniture & Upholstery
RJeWrKD4OBgT1YC3G8kd,Riley Medium Ring Chandelier,Visual Comfort,,,title,,LightingBedding & Pillows
RMrgewfUaPzXy6mJfxjw,LE1053 Silesia,Hartmann & Forbes,,,title,,Window
RQqLrOOhzGnF7prwXiF1,Architect's Swing Arm,Visual Comfort,PT 2000BZ-S,,sku,,LightingBedding & Pillows
RT8L4Iag33TshIbg9uZj,LE1160 Sapi,Hartmann & Forbes,,,title,,Window
RXwePmjJ4azcHOwGYPYX,"Massive Vintage Oak Farm Table, Custom Made by Petersen Antiques",1st Dibs,,,title,,Furniture & Upholstery
Rl3kNfg7jw0polM66xJb,LARAMIE STEM PENDANT LIGHT,Barn Electric,,,title,,LightingBedding & Pillows
Sk9mxcXqfWzE38Kb0Ra7,Cody Large Hanging Shade,Visual Comfort,,,title,,LightingBedding & Pillows
Sks8FBZaMKELbQvMOOA6,Kent Strié ,no vendor,21301595,,sku,,Fabric  + Trim
SvPqCZ4kRLWkx19Hl9be,LE1050 Sendal,Hartmann & Forbes,,,title,,Fabric  + Trim
T9mr0HHNPcXc3fZv3bSw,Bikkia,McLaurin & Piercy,NO. MP79,,sku,,Fabric  + Trim
UiWdrMKWa3SaJHFrbmC3,LE1109 Selatan,Hartmann & Forbes,,,title,,Window
VK8ROmMxrS3FnVGXoVqy,Echo Sconce,Hubbardton Forge,Base Item #204320,,sku,,LightingBedding & Pillows
Vo4kXf7bRJihwacuSkJn,NEVA Chair,SixPenny,,,title,,Furniture & Upholstery
VpGfNxclyqAgsORsYKeo,Reed Double Sconce,Visual Comfort,TOB 2126HAB-L,,sku,,LightingBedding & Pillows
W6hUkb4a7KWOfuGZpMfI,Dash Mineral,McLaurin & Piercy,,,title,,Fabric  + Trim
WcEgFx6Higp7VgEMA38E,Leather strapped drum chandelier,Elu,,,title,,LightingBedding & Pillows
WmU0NMSGTyuTtH5zCGW3,LE1703 Wrafton,Hartmann & Forbes,,,title,,Window
XJZTOs0sSFZXlDb3lroO,SPJ-MSL-2BK-12,SPJ Lighting Inc.,,,title,,LightingBedding & Pillows
XflR4dXliXWAkVqSN34f,Barrett,Visual Comfort,,,title,,LightingBedding & Pillows
XhBdtfvtnsjUMwtvjVto,"Barrett 24"" Picture Light",Visual Comfort,RL2724,,sku,,LightingBedding & Pillows
