clipDocId,title,vendor,sku,matchedBy,oldHouzzId,newHouzzId,oldImageHost,newImageOnFirebase,action
TJzbRhXkBV1xCrKBSzZZ,Flush Leather two tone,Elu,,title,,54556086,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
UiWdrMKWa3SaJHFrbmC3,LE1109 Selatan,Hartmann & Forbes,,title,,53388673,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
VDB85yacPeuiFYv4GX3f,3 Shade Semi Flush,Elu,,title,,54556033,firebasestorage.googleapis.com,false,houzzId
VK8ROmMxrS3FnVGXoVqy,Echo Sconce,Hubbardton Forge,Base Item #204320,sku,,54704007,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
Vo4kXf7bRJihwacuSkJn,NEVA Chair,SixPenny,,title,,55273125,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
VpGfNxclyqAgsORsYKeo,Reed Double Sconce,Visual Comfort,TOB 2126HAB-L,sku,,54550263,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
W6hUkb4a7KWOfuGZpMfI,Dash Mineral,McLaurin & Piercy,,title,,53373544,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
WcEgFx6Higp7VgEMA38E,Leather strapped drum chandelier,Elu,,title,,54721204,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
WmU0NMSGTyuTtH5zCGW3,LE1703 Wrafton,Hartmann & Forbes,,title,,53388681,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
XJZTOs0sSFZXlDb3lroO,SPJ-MSL-2BK-12,SPJ Lighting Inc.,,title,,54577289,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
XflR4dXliXWAkVqSN34f,Barrett,Visual Comfort,,title,,54550479,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
XhBdtfvtnsjUMwtvjVto,"Barrett 24"" Picture Light",Visual Comfort,RL2724,sku,,54550363,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
YETIvsOBNSNsA8428sgO,Alaster Articulating Wall Light,Visual Comfort,RL 2170PN/BKE,sku,,53036584,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
YzogFug1I5onRc85eTYX,New Town Large Sconce,Hubbardton Forge,,title,,54549530,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
Z48o0DnHyUQlKnJqOpZW,Dorchester Double Backplate Swimg Arm,Circa Lighting ,CHD5102,sku,,33494541,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
Z7ALHse3D1NyDbncotbu,Linear Lantern Chandelier,Elu,,title,,54546038,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
Zt1g82xHyFpvFAiQJZCc,Naomi Volcano,Stroheim,,title,,53383592,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
aZ58wylL72bTUHKoWtbx,ERDDIG DOUBLE ARM,Urban Electric,,title,,54549925,s3-us-west-2.amazonaws.com,true,houzzId+imageUrl
alouette-chandelier,Alouette Chandelier,,,title,,51986389,,true,houzzId+imageUrl
antasia-double-glass-1-light-sconce,Antasia Double Glass 1 Light Sconce,,,title,,52326971,,true,houzzId+imageUrl
aperture-sconce,Aperture Sconce,,,title,,54703992,,true,houzzId+imageUrl
